,Instrument,Investor Perm Id,Investor Id,Investor Full Name,Investor Address Country,Investor Type Description ID,Fund Investment Style Code
0,SMBC.CI,,,,,,
1,SACL.ZI,,,,,,
2,SEMC.CI,,,,,,
3,ILV.MV,,,,,,
4,NITL.MV,,,,,,
5,TPCC.TZ,,,,,,
6,ZBFH.ZI,,,,,,
7,TTP.TZ,,,,,,
8,TCCL.TZ,,,,,,
9,FMB.MV,,,,,,
10,NBS.MV,,,,,,
11,SUNB.MV,,,,,,
12,MPICO.MV,,,,,,
13,DCB.TZ,,,,,,
14,NMB.TZ,,,,,,
15,COURTVI.LG,,,,,,
16,CRDB.TZ,,,,,,
17,NANG.LZ,,,,,,
18,PRIM.LZ,,,,,,
19,MCNICHO.LG,,,,,,
20,NIC.UG,,,,,,
21,BATZ.LZ,5000064072,2003708,Ninety One UK Limited,United Kingdom,113,
22,BATZ.LZ,5000221950,2003650,AllianceBernstein Ltd. (Growth),United Kingdom,113,
23,BATZ.LZ,,2006494,,,,
24,BATZ.LZ,5000706029,2006494,Blakeney LLP,United Kingdom,107,
25,BATZ.LZ,5000064072,2003708,Ninety One UK Limited,United Kingdom,113,
26,BATZ.LZ,5000221950,2003650,AllianceBernstein Ltd. (Growth),United Kingdom,113,
27,BOAC.CI,,,,,,
28,RACPp.J,,,,,,
29,LHCJ.J,,,,,,
30,TNM.MV,,,,,,
31,CRESTA.BT,,,,,,
32,UHOMREI.LG,,,,,,
33,DANGCEM.LG,,,,,,
34,MULTITREX.LG,,,,,,
35,RBPJ.J,,,,,,
36,NPFMCRF.LG,,,,,,
37,BOABF.CI,,,,,,
38,MMPJ.J,,,,,,
39,OUTJ.J,,,,,,
40,IPFJ.J,,,,,,
41,LBTY.NR,,,,,,
42,REBJ.J,,,,,,
43,COHJ.J,,,,,,
44,LETL.BT,,,,,,
45,GOLI.MZ,,,,,,
46,BLR.RW,,,,,,
47,MPTJ.J,,,,,,
48,TCL.NR,,,,,,
49,BUCJ.J,,,,,,
50,TEXJ.J,,,,,,
51,DIBJ.J,,,,,,
52,BOK.RW,,,,,,
53,BRIT.NR,,,,,,
54,NAP.BT,,,,,,
55,FTAJ.J,,,,,,
56,SILPp.NM,,,,,,
57,PAL.TZ,,,,,,
58,TERA.MZ,,,,,,
59,CHOPP.BT,,,,,,
60,AUSTINLAZ.LG,,,,,,
61,SIT.MZ,,,,,,
62,LKL.NR,,,,,,
63,TCPJ.J,,,,,,
64,CIC.NR,,,,,,
65,FNBMIDJ.J,,,,,,
66,CIM.MZ,,,,,,
67,DLTJ.J,,,,,,
68,NHL.NM,,,,,,
69,UMEME.UG,,,,,,
70,MDIJ.J,,,,,,
71,UCAP.LG,,,,,,
72,AFRIPRU.LG,,,,,,
73,AGR.NM,,,,,,
74,ETFSAPJ.J,,,,,,
75,SHUMBA.BT,,,,,,
76,NGPLTJ.J,,,,,,
77,MLIJ.J,,,,,,
78,CGP.NM,,,,,,
79,HAFR.NR,,,,,,
80,ATTJ.J,,,,,,
81,ASCJ.J,,,,,,
82,APFJ.J,,,,,,
83,CWG.LG,,,,,,
84,UCHUMI.UG,,,,,,
85,ETFPLDJ.J,,,,,,
86,NGPLDJ.J,,,,,,
87,SARJ.J,,,,,,
88,ETFPLTJ.J,,,,,,
89,ETFGLDJ.J,,,,,,
90,THAJ.J,,,,,,
91,LVLTRXJ.J^H18,,,,,,
92,DIVTRXJ.J,,,,,,
93,AVLJ.J,,,,,,
94,LOTO.MZ,,,,,,
95,CAVERTON.LG,,,,,,
96,VISJ.J,,,,,,
97,MBP.TZ,,,,,,
98,SARE.MZ,,,,,,
99,KSTJ.J,,,,,,
100,EQUJ.J,,,,,,
101,AFHJ.J,,,,,,
102,MAFS.LZ,,,,,,
103,NSE.NR,,,,,,
104,SWALA.TZ,,,,,,
105,BTCL.BT,,,,,,
106,RFGJ.J,,,,,,
107,TRANSCOHOT.LG,,,,,,
108,QFHJ.J,,,,,,
109,NOV.MZ,,,,,,
110,LIVINGTRUST.LG,,,,,,
111,TTLS.CI,,,,,,
112,FTGH.NR,,,,,,
113,KCCGLDJ.J,,,,,,
114,KUR.NR,,,,,,
115,MEDVIEWAIR.LG,,,,,,
116,DNBJ.J,,,,,,
117,HILJ.J,,,,,,
118,ACSJ.J,,,,,,
119,IMRP7p.J,,,,,,
120,BOAS.CI,,,,,,
121,NVSJ.J,,,,,,
122,MFDG.MZ,,,,,,
123,MKCB.TZ,,,,,,
124,MAC.GH,,,,,,
125,IMR.RW,,,,,,
126,MCB.TZ,,,,,,
127,INFINITY.LG,,,,,,
128,VALUEFUND.LG,,,,,,
129,UPDCREIT.LG,,,,,,
130,ADB.GH,,,,,,
131,BOAM.CI,,,,,,
132,CTOP50J.J,,,,,,
133,IKUL.LZ,,,,,,
134,EIZP.LZ,,,,,,
135,ILUJ.J,,,,,,
136,PROL.ZI,,,,,,
137,RENJ.J,,,,,,
138,PEMJ.J,,,,,,
139,YETU.TZ,,,,,,
140,STANBIC.LG,,,,,,
141,VETIVA.LG,,,,,,
142,APL.MZ,,,,,,
143,DCPJ.J,,,,,,
144,BWNJ.J,,,,,,
145,SYGJ.J,,,,,,
146,TRLJ.J,,,,,,
147,CTAJ.J,,,,,,
148,IIL.GH,,,,,,
149,NOTORE.LG,,,,,,
150,SSSJ.J,,,,,,
151,SAMBA.GH,,,,,,
152,HORDS.GH,,,,,,
153,MMH.GH,,,,,,
154,MHBJ.J,,,,,,
155,ATIL.MZ,,,,,,
156,LTEJ.J,,,,,,
157,FAHR.NR,,,,,,
158,ETFRHOJ.J,,,,,,
159,SNHJ.J,5000003949,2132705,STANLIB Asset Management Ltd.,South Africa,107,
160,SNHJ.J,5000054512,2003672,JPMorgan Asset Management U.K. Limited,United Kingdom,113,
161,SNHJ.J,4297772128,2001973,Mellon Investments Corporation,United States,113,
162,SNHJ.J,5000045174,2002653,Macquarie Investment Management,United States,107,
163,SNHJ.J,4296540815,2004263,Harding Loevner LP,United States,107,
164,SNHJ.J,5000051932,2003066,"Nicholas-Applegate Capital Management, LLC_NLE",United States,107,
