,Instrument,Investor Perm Id,Investor Id,Investor Full Name,Investor Address Country,Investor Type Description ID,Fund Investment Style Code
0,SMBC.CI,,,,,,
1,SACL.ZI,,,,,,
2,SEMC.CI,,,,,,
3,ILV.MV,,,,,,
4,NITL.MV,,,,,,
5,TPCC.TZ,,,,,,
6,ZBFH.ZI,,,,,,
7,TTP.TZ,,,,,,
8,TCCL.TZ,,,,,,
9,FMB.MV,,,,,,
10,NBS.MV,,,,,,
11,SUNB.MV,,,,,,
12,MPICO.MV,,,,,,
13,DCB.TZ,,,,,,
14,NMB.TZ,,,,,,
15,COURTVI.LG,,,,,,
16,CRDB.TZ,,,,,,
17,NANG.LZ,,,,,,
18,PRIM.LZ,,,,,,
19,MCNICHO.LG,,,,,,
20,NIC.UG,,,,,,
21,BATZ.LZ,,,,,,
22,BOAC.CI,,,,,,
23,RACPp.J,,,,,,
24,LHCJ.J,,,,,,
25,TNM.MV,,,,,,
26,CRESTA.BT,,,,,,
27,UHOMREI.LG,,,,,,
28,DANGCEM.LG,,,,,,
29,MULTITREX.LG,,,,,,
30,RBPJ.J,,,,,,
31,NPFMCRF.LG,,,,,,
32,BOABF.CI,,,,,,
33,MMPJ.J,,,,,,
34,OUTJ.J,,,,,,
35,IPFJ.J,,,,,,
36,LBTY.NR,,,,,,
37,REBJ.J,,,,,,
38,COHJ.J,,,,,,
39,LETL.BT,,,,,,
40,GOLI.MZ,,,,,,
41,BLR.RW,,,,,,
42,MPTJ.J,,,,,,
43,TCL.NR,,,,,,
44,BUCJ.J,34414031853,3048306,Bharti (Stanley),Canada,303,
45,BUCJ.J,34413749299,3078839,Faught (George D),Canada,303,
46,BUCJ.J,34414031482,4262098,Bhalla (Amar),Canada,303,
47,BUCJ.J,,3046931,,,,
48,BUCJ.J,,2658822,,,,
49,BUCJ.J,34413794648,3046931,Inwentash (Sheldon),Canada,303,
50,BUCJ.J,4295863128,2658822,Pinetree Capital Ltd.,Canada,112,
51,BUCJ.J,34413749299,3078839,Faught (George D),Canada,303,
52,BUCJ.J,34414031482,4262098,Bhalla (Amar),Canada,303,
53,BUCJ.J,34414031853,3048306,Bharti (Stanley),Canada,303,
54,TEXJ.J,,,,,,
55,DIBJ.J,,,,,,
56,BOK.RW,,,,,,
57,BRIT.NR,,,,,,
58,NAP.BT,,,,,,
59,FTAJ.J,,,,,,
60,SILPp.NM,,,,,,
61,PAL.TZ,,,,,,
62,TERA.MZ,,,,,,
63,CHOPP.BT,,,,,,
64,AUSTINLAZ.LG,,,,,,
65,SIT.MZ,,,,,,
66,LKL.NR,,,,,,
67,TCPJ.J,,,,,,
68,CIC.NR,,,,,,
69,FNBMIDJ.J,,,,,,
70,CIM.MZ,,,,,,
71,DLTJ.J,,,,,,
72,NHL.NM,,,,,,
73,UMEME.UG,,,,,,
74,MDIJ.J,,,,,,
75,UCAP.LG,,,,,,
76,AFRIPRU.LG,,,,,,
77,AGR.NM,,,,,,
78,ETFSAPJ.J,,,,,,
79,SHUMBA.BT,,,,,,
80,NGPLTJ.J,,,,,,
81,MLIJ.J,,,,,,
82,CGP.NM,,,,,,
83,HAFR.NR,,,,,,
84,ATTJ.J,,,,,,
85,ASCJ.J,,,,,,
86,APFJ.J,,,,,,
87,CWG.LG,,,,,,
88,UCHUMI.UG,,,,,,
89,ETFPLDJ.J,,,,,,
90,NGPLDJ.J,,,,,,
91,SARJ.J,,,,,,
92,ETFPLTJ.J,,,,,,
93,ETFGLDJ.J,,,,,,
94,THAJ.J,,,,,,
95,LVLTRXJ.J^H18,,,,,,
96,DIVTRXJ.J,,,,,,
97,AVLJ.J,,,,,,
98,LOTO.MZ,,,,,,
99,CAVERTON.LG,,,,,,
100,VISJ.J,,,,,,
101,MBP.TZ,,,,,,
102,SARE.MZ,,,,,,
103,KSTJ.J,,,,,,
104,EQUJ.J,,,,,,
105,AFHJ.J,,,,,,
106,MAFS.LZ,,,,,,
107,NSE.NR,,,,,,
108,SWALA.TZ,,,,,,
109,BTCL.BT,,,,,,
110,RFGJ.J,,,,,,
111,TRANSCOHOT.LG,,,,,,
112,QFHJ.J,,,,,,
113,NOV.MZ,,,,,,
114,LIVINGTRUST.LG,,,,,,
115,TTLS.CI,,,,,,
116,FTGH.NR,,,,,,
117,KCCGLDJ.J,,,,,,
118,KUR.NR,,,,,,
119,MEDVIEWAIR.LG,,,,,,
120,DNBJ.J,,,,,,
121,HILJ.J,,,,,,
122,ACSJ.J,,,,,,
123,IMRP7p.J,,,,,,
124,BOAS.CI,,,,,,
125,NVSJ.J,,,,,,
126,MFDG.MZ,,,,,,
127,MKCB.TZ,,,,,,
128,MAC.GH,,,,,,
129,IMR.RW,,,,,,
130,MCB.TZ,,,,,,
131,INFINITY.LG,,,,,,
132,VALUEFUND.LG,,,,,,
133,UPDCREIT.LG,,,,,,
134,ADB.GH,,,,,,
135,BOAM.CI,,,,,,
136,CTOP50J.J,,,,,,
137,IKUL.LZ,,,,,,
138,EIZP.LZ,,,,,,
139,ILUJ.J,,,,,,
140,PROL.ZI,,,,,,
141,RENJ.J,,,,,,
142,PEMJ.J,,,,,,
143,YETU.TZ,,,,,,
144,STANBIC.LG,,,,,,
145,VETIVA.LG,,,,,,
146,APL.MZ,,,,,,
147,DCPJ.J,,,,,,
148,BWNJ.J,,,,,,
149,SYGJ.J,,,,,,
150,TRLJ.J,,,,,,
151,CTAJ.J,,,,,,
152,IIL.GH,,,,,,
153,NOTORE.LG,,,,,,
154,SSSJ.J,,,,,,
155,SAMBA.GH,,,,,,
156,HORDS.GH,,,,,,
157,MMH.GH,,,,,,
158,MHBJ.J,,,,,,
159,ATIL.MZ,,,,,,
160,LTEJ.J,,,,,,
161,FAHR.NR,,,,,,
162,ETFRHOJ.J,,,,,,
163,SNHJ.J,34413286392,3238019,Steinhoff (Bruno Ewald),South Africa,303,
164,SNHJ.J,4297651992,2004260,"The Vanguard Group, Inc.",United States,113,
165,SNHJ.J,4296477482,2003356,"BlackRock Institutional Trust Company, N.A.",United States,107,
