,Instrument,Investor Perm Id,Investor Id,Investor Full Name,Investor Address Country,Investor Type Description ID,Fund Investment Style Code
0,SMBC.CI,,,,,,
1,SACL.ZI,,,,,,
2,SEMC.CI,,,,,,
3,ILV.MV,,,,,,
4,NITL.MV,,,,,,
5,TPCC.TZ,,,,,,
6,ZBFH.ZI,,,,,,
7,TTP.TZ,,,,,,
8,TCCL.TZ,,,,,,
9,FMB.MV,,,,,,
10,NBS.MV,,,,,,
11,SUNB.MV,,,,,,
12,MPICO.MV,,,,,,
13,DCB.TZ,,,,,,
14,NMB.TZ,,,,,,
15,COURTVI.LG,,,,,,
16,CRDB.TZ,,,,,,
17,NANG.LZ,,,,,,
18,PRIM.LZ,,,,,,
19,MCNICHO.LG,,,,,,
20,NIC.UG,,,,,,
21,BATZ.LZ,,,,,,
22,BOAC.CI,,,,,,
23,RACPp.J,,,,,,
24,LHCJ.J,,,,,,
25,TNM.MV,,,,,,
26,CRESTA.BT,,,,,,
27,UHOMREI.LG,,,,,,
28,DANGCEM.LG,,,,,,
29,MULTITREX.LG,,,,,,
30,RBPJ.J,,,,,,
31,NPFMCRF.LG,,,,,,
32,BOABF.CI,,,,,,
33,MMPJ.J,,,,,,
34,OUTJ.J,,,,,,
35,IPFJ.J,,,,,,
36,LBTY.NR,,,,,,
37,REBJ.J,,,,,,
38,COHJ.J,,,,,,
39,LETL.BT,,,,,,
40,GOLI.MZ,,,,,,
41,BLR.RW,,,,,,
42,MPTJ.J,,,,,,
43,TCL.NR,,,,,,
44,BUCJ.J,34413794648,3046931,Inwentash (Sheldon),Canada,303,
45,BUCJ.J,4295863128,2658822,Pinetree Capital Ltd.,Canada,112,
46,BUCJ.J,34413749299,3078839,Faught (George D),Canada,303,
47,BUCJ.J,34414031482,4262098,Bhalla (Amar),Canada,303,
48,BUCJ.J,34414031853,3048306,Bharti (Stanley),Canada,303,
49,BUCJ.J,,4272091,,,,
50,BUCJ.J,,4130469,,,,
51,BUCJ.J,,4129695,,,,
52,BUCJ.J,,3151053,,,,
53,BUCJ.J,,3146531,,,,
54,BUCJ.J,,3093916,,,,
55,BUCJ.J,34414031482,4262098,Bhalla (Amar),Canada,303,
56,BUCJ.J,,4130469,Bhalla (Amar),,303,
57,BUCJ.J,34413757104,3151053,Lavine (Marc B),Canada,303,
58,BUCJ.J,34414031853,3048306,Bharti (Stanley),Canada,303,
59,BUCJ.J,34413749299,3078839,Faught (George D),Canada,303,
60,BUCJ.J,34419905059,4129695,"Sood, Ravi",,303,
61,BUCJ.J,34413490891,3146531,MacGregor (Stuart),Canada,303,
62,BUCJ.J,34414042296,3093916,Campbell (Robert W),Canada,303,
63,BUCJ.J,34413670710,4272091,Kimel (Richard Michael),Canada,303,
64,BUCJ.J,,3046931,,,,
65,BUCJ.J,,2658822,,,,
66,TEXJ.J,,,,,,
67,DIBJ.J,,,,,,
68,BOK.RW,,,,,,
69,BRIT.NR,,,,,,
70,NAP.BT,,,,,,
71,FTAJ.J,,,,,,
72,SILPp.NM,,,,,,
73,PAL.TZ,,,,,,
74,TERA.MZ,,,,,,
75,CHOPP.BT,,,,,,
76,AUSTINLAZ.LG,,,,,,
77,SIT.MZ,,,,,,
78,LKL.NR,,,,,,
79,TCPJ.J,,,,,,
80,CIC.NR,,,,,,
81,FNBMIDJ.J,,,,,,
82,CIM.MZ,,,,,,
83,DLTJ.J,,,,,,
84,NHL.NM,,,,,,
85,UMEME.UG,,,,,,
86,MDIJ.J,,,,,,
87,UCAP.LG,,,,,,
88,AFRIPRU.LG,,,,,,
89,AGR.NM,,,,,,
90,ETFSAPJ.J,,,,,,
91,SHUMBA.BT,,,,,,
92,NGPLTJ.J,,,,,,
93,MLIJ.J,,,,,,
94,CGP.NM,,,,,,
95,HAFR.NR,,,,,,
96,ATTJ.J,,,,,,
97,ASCJ.J,,,,,,
98,APFJ.J,,,,,,
99,CWG.LG,,,,,,
100,UCHUMI.UG,,,,,,
101,ETFPLDJ.J,,,,,,
102,NGPLDJ.J,,,,,,
103,SARJ.J,,,,,,
104,ETFPLTJ.J,,,,,,
105,ETFGLDJ.J,,,,,,
106,THAJ.J,,,,,,
107,LVLTRXJ.J^H18,,,,,,
108,DIVTRXJ.J,,,,,,
109,AVLJ.J,,,,,,
110,LOTO.MZ,,,,,,
111,CAVERTON.LG,,,,,,
112,VISJ.J,,,,,,
113,MBP.TZ,,,,,,
114,SARE.MZ,,,,,,
115,KSTJ.J,,,,,,
116,EQUJ.J,,,,,,
117,AFHJ.J,,,,,,
118,MAFS.LZ,,,,,,
119,NSE.NR,,,,,,
120,SWALA.TZ,,,,,,
121,BTCL.BT,,,,,,
122,RFGJ.J,,,,,,
123,TRANSCOHOT.LG,,,,,,
124,QFHJ.J,,,,,,
125,NOV.MZ,,,,,,
126,LIVINGTRUST.LG,,,,,,
127,TTLS.CI,,,,,,
128,FTGH.NR,,,,,,
129,KCCGLDJ.J,,,,,,
130,KUR.NR,,,,,,
131,MEDVIEWAIR.LG,,,,,,
132,DNBJ.J,,,,,,
133,HILJ.J,,,,,,
134,ACSJ.J,,,,,,
135,IMRP7p.J,,,,,,
136,BOAS.CI,,,,,,
137,NVSJ.J,,,,,,
138,MFDG.MZ,,,,,,
139,MKCB.TZ,,,,,,
140,MAC.GH,,,,,,
141,IMR.RW,,,,,,
142,MCB.TZ,,,,,,
143,INFINITY.LG,,,,,,
144,VALUEFUND.LG,,,,,,
145,UPDCREIT.LG,,,,,,
146,ADB.GH,,,,,,
147,BOAM.CI,,,,,,
148,CTOP50J.J,,,,,,
149,IKUL.LZ,,,,,,
150,EIZP.LZ,,,,,,
151,ILUJ.J,,,,,,
152,PROL.ZI,,,,,,
153,RENJ.J,,,,,,
154,PEMJ.J,,,,,,
155,YETU.TZ,,,,,,
156,STANBIC.LG,,,,,,
157,VETIVA.LG,,,,,,
158,APL.MZ,,,,,,
159,DCPJ.J,,,,,,
160,BWNJ.J,,,,,,
161,SYGJ.J,,,,,,
162,TRLJ.J,,,,,,
163,CTAJ.J,,,,,,
164,IIL.GH,,,,,,
